ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-31,1211264.0007386631,1068021.3680568666,1173633.7990108337,1210064.9371579094,1212374.397684047,-90221.2473710323,-90221.2473710323,-90221.2473710323,-90221.2473710323,-90221.2473710323,-90221.2473710323,0.0,0.0,0.0,1121042.7533676308
2026-12-31,1222941.1154759605,1074909.5983233508,1186548.7993543483,1220492.4885614405,1225424.9584165951,-89737.55935751992,-89737.55935751992,-89737.55935751992,-89737.55935751992,-89737.55935751992,-89737.55935751992,0.0,0.0,0.0,1133203.5561184406
2027-12-31,1234618.2302132582,1088084.9885031239,1204732.3442225878,1230496.8426154717,1238572.369110121,-88893.69139661043,-88893.69139661043,-88893.69139661043,-88893.69139661043,-88893.69139661043,-88893.69139661043,0.0,0.0,0.0,1145724.5388166478
2028-12-31,1246327.3370457261,1102905.6741786744,1215352.4013066785,1240193.9354700635,1252096.274231507,-90344.35508675555,-90344.35508675555,-90344.35508675555,-90344.35508675555,-90344.35508675555,-90344.35508675555,0.0,0.0,0.0,1155982.9819589707
2029-12-31,1258004.4517830235,1109022.8804703255,1224816.4335019658,1249719.020158148,1265806.91948147,-90221.2473710297,-90221.2473710297,-90221.2473710297,-90221.2473710297,-90221.2473710297,-90221.2473710297,0.0,0.0,0.0,1167783.2044119937
2030-12-31,1269681.5665203212,1124946.439926899,1234207.5885425487,1258538.1930701947,1279663.6499277293,-89737.55935752238,-89737.55935752238,-89737.55935752238,-89737.55935752238,-89737.55935752238,-89737.55935752238,0.0,0.0,0.0,1179944.007162799
2031-12-31,1281358.6812576186,1131533.0443131914,1250301.013686838,1267710.7001889646,1293466.1786430327,-88893.69139659642,-88893.69139659642,-88893.69139659642,-88893.69139659642,-88893.69139659642,-88893.69139659642,0.0,0.0,0.0,1192464.9898610222
2032-12-31,1293067.7880900868,1143419.2884156904,1262179.2530672816,1276391.8959244906,1307577.1119809817,-90344.3550867593,-90344.3550867593,-90344.3550867593,-90344.3550867593,-90344.3550867593,-90344.3550867593,0.0,0.0,0.0,1202723.4330033276
2033-12-31,1304744.9028273842,1156806.4784587717,1275690.795981339,1284909.9312823112,1321921.8017676892,-90221.24737103084,-90221.24737103084,-90221.24737103084,-90221.24737103084,-90221.24737103084,-90221.24737103084,0.0,0.0,0.0,1214523.6554563534
2034-12-31,1316422.0175646818,1166748.4709418656,1286114.1594327574,1292844.1132523383,1336741.9319252972,-89737.55935750897,-89737.55935750897,-89737.55935750897,-89737.55935750897,-89737.55935750897,-89737.55935750897,0.0,0.0,0.0,1226684.4582071728
2035-12-31,1328099.132301979,1179474.5602305578,1301451.1406332448,1301032.6947509325,1351286.0903806987,-88893.69139659988,-88893.69139659988,-88893.69139659988,-88893.69139659988,-88893.69139659988,-88893.69139659988,0.0,0.0,0.0,1239205.4409053791
2036-12-31,1339808.2391344472,1184535.6652765204,1304962.4923756288,1308922.6975559876,1366256.8825596294,-90344.35508675326,-90344.35508675326,-90344.35508675326,-90344.35508675326,-90344.35508675326,-90344.35508675326,0.0,0.0,0.0,1249463.884047694
2037-12-31,1351485.3538717448,1192371.3728294466,1321324.443626576,1316597.2378100841,1381241.5193913537,-90221.24737103289,-90221.24737103289,-90221.24737103289,-90221.24737103289,-90221.24737103289,-90221.24737103289,0.0,0.0,0.0,1261264.106500712
2038-12-31,1363162.468609042,1205794.459898917,1339153.9500551468,1324631.1827717843,1396462.5896637102,-89737.55935751498,-89737.55935751498,-89737.55935751498,-89737.55935751498,-89737.55935751498,-89737.55935751498,0.0,0.0,0.0,1273424.909251527
2039-12-31,1374839.5833463396,1214721.9636473057,1354621.219729305,1331679.368550697,1412376.9544348088,-88893.69139661177,-88893.69139661177,-88893.69139661177,-88893.69139661177,-88893.69139661177,-88893.69139661177,0.0,0.0,0.0,1285945.891949728
2040-12-31,1386548.6901788078,1222600.6178705832,1367393.705408174,1339120.4919899995,1427078.9979350606,-90344.35508675473,-90344.35508675473,-90344.35508675473,-90344.35508675473,-90344.35508675473,-90344.35508675473,0.0,0.0,0.0,1296204.335092053
2041-12-31,1398225.804916105,1235358.2463837622,1378205.11164816,1347157.2392116752,1443070.5710244423,-90221.24737103151,-90221.24737103151,-90221.24737103151,-90221.24737103151,-90221.24737103151,-90221.24737103151,0.0,0.0,0.0,1308004.5575450736
2042-12-31,1409902.9196534026,1242650.9590574093,1389665.9449792881,1354978.8997010442,1458455.5883239242,-89737.55935752076,-89737.55935752076,-89737.55935752076,-89737.55935752076,-89737.55935752076,-89737.55935752076,0.0,0.0,0.0,1320165.360295882
2043-12-31,1421580.0343907003,1258100.1217562307,1408139.0094217367,1362450.8571195328,1474298.9357380653,-88893.69139659494,-88893.69139659494,-88893.69139659494,-88893.69139659494,-88893.69139659494,-88893.69139659494,0.0,0.0,0.0,1332686.3429941053
